recruiter_id,recruiter_name,team,country,hire_date
R01,Valentina Rojas,Tech,Colombia,2024-10-16
R02,Mateo Fernandez,Tech,Argentina,2023-04-25
R03,Camila Torres,Tech,Mexico,2023-01-26
R04,Santiago Perez,Finance & Ops,Colombia,2025-01-29
R05,Isabella Gomez,Finance & Ops,Peru,2023-10-09
R06,Sebastian Diaz,Finance & Ops,Mexico,2023-09-08
R07,Mariana Lopez,Marketing & Sales,Colombia,2023-08-17
R08,Diego Ramirez,Marketing & Sales,Argentina,2023-05-23
R09,Lucia Herrera,Marketing & Sales,Venezuela,2025-01-24
R10,Andres Castillo,Tech,Brazil,2023-04-15
R11,Sofia Mendoza,Finance & Ops,Colombia,2024-11-23
R12,Gabriel Suarez,Marketing & Sales,Mexico,2025-01-28
